stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,wheelchair_boarding,location_type,parent_station,geometry
VVA-L4-V2,,Vicente Valdés Dirección Tobalaba,-33.5261250543955,-70.5968089867196,,,0.0,VVA,POINT (-70.5968089867196 -33.5261250543955)
VVA-L5-V1,,Vicente Valdés Dirección Vicente Valdés,-33.5261621726771,-70.5969489251857,,,0.0,VVA,POINT (-70.5969489251857 -33.5261621726771)
VVA-L5-V2,,Vicente Valdés Dirección Plaza de Maipú,-33.5261250543955,-70.5968089867196,,,0.0,VVA,POINT (-70.5968089867196 -33.5261250543955)
NUB-L5-V1,,Ñuble Dirección Vicente Valdés,-33.4673071041863,-70.6248483430524,,,0.0,NUB,POINT (-70.6248483430524 -33.4673071041863)
NUB-L5-V2,,Ñuble Dirección Plaza de Maipú,-33.4672670821856,-70.6247104107445,,,0.0,NUB,POINT (-70.6247104107445 -33.4672670821856)
NUB-L6-V1,,Ñuble Dirección Los Leones,-33.4672470711784,-70.6251541929527,,,0.0,NUB,POINT (-70.6251541929527 -33.4672470711784)
NUB-L6-V2,,Ñuble Dirección Cerrillos,-33.4670969884741,-70.6252201606108,,,0.0,NUB,POINT (-70.6252201606108 -33.4670969884741)
CAR-L3-V1,,Cardenal Caro Dirección Fernando Castillo Velasco,-33.373314,-70.686283,,,0.0,CAR,POINT (-70.686283 -33.373314)
CAR-L3-V2,,Cardenal Caro Dirección Plaza Quilicura,-33.373314,-70.686283,,,0.0,CAR,POINT (-70.686283 -33.373314)
ESP-L3-V1,,Chile España Dirección Fernando Castillo Velasco,-33.455206,-70.597489,,,0.0,ESP,POINT (-70.597489 -33.455206)
ESP-L3-V2,,Chile España Dirección Plaza Quilicura,-33.455206,-70.597489,,,0.0,ESP,POINT (-70.597489 -33.455206)
CCH-L3-V1,,Conchalí Dirección Fernando Castillo Velasco,-33.397531,-70.669564,,,0.0,CCH,POINT (-70.669564 -33.397531)
CCH-L3-V2,,Conchalí Dirección Plaza Quilicura,-33.397531,-70.669564,,,0.0,CCH,POINT (-70.669564 -33.397531)
